,City Name,City ID,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Busselton,2075265,-33.65,115.3333,49.86,97,84,1.01
1,Port Augusta,2063056,-32.5,137.7667,59.72,47,100,4.61
2,Bluff,2206939,-46.6,168.3333,42.01,93,68,1.01
3,Butaritari,2110227,3.0707,172.7902,82.33,74,66,10.89
4,Mataura,6201424,-46.1927,168.8643,42.01,93,58,1.01
5,Samarai,2132606,-10.6167,150.6667,79.65,78,51,8.01
6,Kidal,2455290,18.4411,1.4078,101.97,5,5,9.62
7,Hilo,5855927,19.7297,-155.09,71.02,78,20,6.91
8,Mengyin,1800675,35.7069,117.9264,46.51,79,13,1.99
9,Tuktoyaktuk,6170031,69.4541,-133.0374,15.8,79,20,11.5
10,Alyangula,2079582,-13.8483,136.4192,71.6,100,5,3.44
11,Yellowknife,6185377,62.456,-114.3525,30.06,86,90,14.97
12,Kununurra,2068110,-15.7667,128.7333,64.4,88,0,4.99
13,Hermanus,3366880,-34.4187,19.2345,53.01,78,2,5.5
14,Coquimbo,3893629,-29.9533,-71.3436,66.2,59,0,11.5
15,Albany,5106841,42.6001,-73.9662,54.37,72,93,10.0
16,Mabaruma,3377301,8.2,-59.7833,88.93,48,96,5.66
17,Severo-Kuril'Sk,2121385,50.6789,156.125,34.97,92,100,18.43
18,Vaini,4032243,-21.2,-175.2,75.2,94,75,11.5
19,Doha,290030,25.2867,51.5333,85.41,48,0,3.44
20,Nhulunbuy,2064735,-12.2333,136.7667,75.2,88,75,6.91
21,Port Alfred,964432,-33.5906,26.891,63.68,74,61,15.9
22,Sur,286245,22.5667,59.5289,85.21,42,76,9.82
23,Atuona,4020109,-9.8,-139.0333,78.76,71,19,5.46
24,Tsabong,932987,-26.0217,22.401,63.43,26,0,7.16
25,Kapaa,5848280,22.0752,-159.319,68.56,88,75,6.91
26,Nome,5870133,64.5011,-165.4064,16.32,73,1,3.44
27,Avarua,4035715,-21.2078,-159.775,77.0,94,90,2.3
28,Guerrero Negro,4021858,27.9769,-114.0611,81.66,32,0,11.5
29,Punta Arenas,3874787,-53.15,-70.9167,41.0,100,90,8.05
30,Porto-Novo,2392087,6.4965,2.6036,86.0,79,40,14.97
31,Aswān,359792,24.0934,32.907,94.75,8,0,12.93
32,Hithadhoo,1282256,-0.6,73.0833,84.18,73,42,7.76
33,Sfântu Gheorghe,667303,45.8667,25.7833,53.91,71,59,4.12
34,Vao,2137773,-22.6667,167.4833,74.53,59,91,18.97
35,Cascais,2269594,38.6979,-9.4215,60.76,55,20,16.11
36,Bengkulu,1649150,-3.8004,102.2655,76.68,88,100,3.24
37,Fortuna,5563839,40.5982,-124.1573,59.45,82,1,6.42
38,Poum,2138555,-20.2333,164.0167,75.49,69,70,11.34
39,Gushikawa,1863495,26.3544,127.8686,67.21,82,1,6.91
40,Jamestown,5122534,42.097,-79.2353,45.61,70,90,17.27
41,Tasiilaq,3424607,65.6145,-37.6368,33.8,64,20,11.5
42,Alofi,4036284,-19.0595,-169.9187,71.6,100,100,1.14
43,Saint-Philippe,935215,-21.3585,55.7679,72.23,78,0,4.61
44,Saldanha,3361934,-33.0117,17.9442,59.0,58,0,13.8
45,Klaksvík,2618795,62.2266,-6.589,39.2,60,75,9.22
46,Husavik,2629833,66.0449,-17.3389,32.0,100,90,14.97
47,Bambous Virieux,1106677,-20.3428,57.7575,78.42,78,40,14.97
48,Saint Paul Harbor,5866583,57.79,-152.4072,42.8,52,1,11.5
49,Emerald,2167426,-23.5333,148.1667,61.02,94,6,6.91
50,Castro,3466704,-24.7911,-50.0119,67.69,50,21,8.41
51,Ndélé,237379,8.4109,20.6473,84.92,41,40,3.74
52,Korla,1529376,41.7597,86.1469,74.21,16,0,4.18
53,Chui,3443061,-33.6971,-53.4616,70.84,44,3,6.46
54,Palana,2122262,59.1167,159.9667,29.07,92,100,6.42
55,Hobart,2163355,-42.8794,147.3294,47.93,87,4,8.05
56,Ancud,3899695,-41.8697,-73.8203,55.18,100,90,16.11
57,Ushuaia,3833367,-54.8,-68.3,41.0,81,75,1.14
58,Kaitangata,2208248,-46.2817,169.8464,46.99,72,42,1.99
59,Isangel,2136825,-19.55,169.2667,76.48,77,80,14.76
60,New Norfolk,2155415,-42.7826,147.0587,47.97,86,5,3.15
61,Port Lincoln,2063036,-34.7333,135.8667,67.24,40,100,12.17
62,Nikolskoye,546105,59.7035,30.7861,43.79,53,0,4.47
63,Shimoda,1852357,34.6667,138.95,52.0,76,0,15.61
64,Clyde River,5924351,70.4692,-68.5914,23.0,100,90,3.44
65,Gillette,5826027,44.2911,-105.5022,72.93,27,1,13.8
66,Rikitea,4030556,-23.1203,-134.9692,78.84,76,40,20.24
67,Mercedes,3430708,-34.6515,-59.4307,73.33,51,0,11.99
68,Bredasdorp,1015776,-34.5322,20.0403,53.6,71,29,2.3
69,Valdemārpils,454584,57.3707,22.5919,41.0,70,0,9.22
70,Snezhnogorsk,795243,69.1933,33.2531,28.4,40,0,6.71
71,Bethel,5282297,41.3712,-73.414,62.67,42,90,16.11
72,Nantucket,4944903,41.2835,-70.0995,59.0,63,75,24.16
73,Pacific Grove,5380437,36.6177,-121.9166,55.54,76,40,9.22
74,Hong Kong,1819729,22.2855,114.1577,74.93,85,89,0.51
75,Lebu,3883457,-37.6167,-73.65,59.29,79,100,19.75
76,Yar-Sale,1486321,66.8333,70.8333,27.39,94,92,13.24
77,Dicabisagan,1715015,17.0818,122.4157,75.31,82,47,2.86
78,Sitka,5557293,57.0531,-135.33,44.6,81,90,3.47
79,Hobyo,57000,5.3505,48.5268,85.14,64,92,12.21
80,Galveston,4692856,29.3669,-94.9669,72.09,94,90,5.75
81,Santa Elena,3651438,-2.2333,-80.85,78.8,78,0,10.36
82,Buala,2109528,-8.145,159.5921,78.73,82,95,4.14
83,Port Elizabeth,964420,-33.918,25.5701,59.0,82,0,14.97
84,Whitianga,2179103,-36.8333,175.7,58.98,78,91,7.16
85,Yangi Marg`Ilon,1513491,40.4272,71.7189,77.0,25,87,9.22
86,Vardø,777019,70.3705,31.1107,24.8,74,20,18.41
87,Muncar,1634718,-8.4333,114.3333,74.68,86,62,1.25
88,Narsaq,3421719,60.9167,-46.05,57.2,26,20,18.41
89,Puerto Ayora,3652764,-0.7393,-90.3518,82.4,69,40,17.27
90,Caravelas,3466980,-17.7125,-39.2481,75.54,79,84,12.03
91,Nouadhibou,2377457,20.931,-17.0347,73.4,73,0,20.71
92,Cancún,3531673,21.1743,-86.8466,84.94,62,75,19.57
93,Skjervøy,777682,70.0311,20.9714,26.6,80,90,16.11
94,Moses Lake,5803990,47.1301,-119.2781,65.43,45,1,6.91
95,Coahuayana Viejo,4013679,18.7333,-103.6833,77.0,69,1,7.83
96,Esperance,2071860,-33.8667,121.9,46.4,93,74,5.75
97,Amparafaravola,1078446,-17.5833,48.2167,64.44,96,16,4.21
98,Carnarvon,2074865,-24.8667,113.6333,68.0,77,86,11.5
99,Aklavik,5882953,68.2191,-135.0107,25.65,74,100,8.05
100,Dikson,1507390,73.5069,80.5464,5.5,96,92,9.06
101,Port-Gentil,2396518,-0.7193,8.7815,84.2,79,40,6.91
102,Hearst,5973108,49.6835,-83.6665,35.6,48,84,12.66
103,Imbituba,3461370,-28.24,-48.6703,75.2,57,20,10.36
104,Vestmannaeyjar,3412093,63.4427,-20.2734,42.8,65,75,13.8
105,Pilot Butte,6104745,50.4668,-104.4178,62.4,27,98,14.97
106,Brasília,3469058,-15.7797,-47.9297,76.06,65,75,12.66
107,Naze,1855540,28.3667,129.4833,66.4,78,100,16.08
108,George Town,1735106,5.4112,100.3354,77.0,94,40,9.1
109,Pochutla,3517970,15.7432,-96.4661,87.55,66,90,11.5
110,Khatanga,2022572,71.9667,102.5,30.61,96,100,8.99
111,Kathmandu,1283240,27.7167,85.3167,60.8,82,20,4.61
112,Inhambane,1045114,-23.865,35.3833,77.52,83,40,5.75
113,Airai,1651810,-8.9266,125.4092,57.45,86,100,2.68
114,Ilulissat,3423146,69.2167,-51.1,39.2,48,20,3.44
115,Faanui,4034551,-16.4833,-151.75,79.14,78,97,4.52
116,Mpika,905846,-11.8343,31.4529,62.29,91,24,2.93
